,geocode,muni_name,year,peak_week,beta,gamma,R0,total_cases,alpha,sum_res,ep_ini,ep_end,ep_dur,uf,state,n_last_ep,year_first_ep,year_last_ep_before_2023,start_train_chik,end_train_chik
30,3304102,Porciúncula,2023,7.40843038382422,0.7429291786525922,0.3017345306642334,2.462194754498665,510.3830848256779,0.5938582851040096,0.7468907660397339,202302,202316,14,33,RJ,3,2016,2020,2015-10-01,2020-11-01
8,2303501,Cascavel,2023,21.031322504544548,0.4487885513319908,0.3009734740656106,1.4911232716613336,196.7644059347923,0.3293646346986114,1.124632855707845,202302,202339,37,23,CE,3,2017,2022,2016-10-01,2022-11-01
86,2311405,Quixeramobim,2023,18.37502952573582,0.5347000813903638,0.3047607490452808,1.7544912954355516,466.37950616147305,0.4300342198325068,0.9302898323230548,202302,202332,30,23,CE,3,2016,2022,2015-10-01,2022-11-01
88,2306801,Jaguaribara,2023,16.405845051347136,0.7429244140231106,0.3085145342634434,2.4080694149362847,302.64655355567976,0.5847295788911222,1.1255561706355053,202309,202325,16,23,CE,1,2017,2017,2016-10-01,2017-11-01
122,2305407,Icó,2023,13.68278017763276,0.429925491487756,0.3001000195086107,1.4326073426843622,87.12409210886135,0.301972026664166,1.434495390394052,202302,202334,32,23,CE,2,2017,2022,2016-10-01,2022-11-01
152,2313203,Tamboril,2023,7.910364739848401,0.955337864001068,0.3186205679787244,2.998355912995735,614.2863832364994,0.6664838901660364,0.9041667021174458,202303,202314,11,23,CE,2,2016,2022,2015-10-01,2022-11-01
8,2112209,Timon,2023,9.563220569967438,0.6716954012080327,0.3004722883572547,2.235465389771326,228.7453076336771,0.5526658544678726,0.6401189592024037,202302,202319,17,21,MA,1,2022,2022,2021-10-01,2022-11-01
18,2111300,São Luís,2023,20.364631488467683,0.4576914087984786,0.3000000000019203,1.5256380293184963,2261.8945085519226,0.3445365278114489,0.9520365260556594,202302,202338,36,21,MA,2,2016,2022,2015-10-01,2022-11-01
7,3119401,Coronel Fabriciano,2023,23.776384933056935,0.4462462508093945,0.3288324918582572,1.3570625222818564,670.0460865701265,0.2631142754436011,2.3445181206785946,202302,202345,43,31,MG,2,2017,2018,2016-10-01,2018-11-01
12,3168606,Teófilo Otoni,2023,8.98657163510789,0.6623003096635262,0.3000000000004831,2.207667698874866,3686.322772879713,0.5470332783735303,1.127226466869366,202302,202319,17,31,MG,1,2017,2017,2016-10-01,2017-11-01
20,3127701,Governador Valadares,2023,16.839015473650072,0.436746135454515,0.300000000012916,1.455820451452372,771.9858684806272,0.3131021074732336,1.9715160560210905,202302,202336,34,31,MG,3,2017,2022,2016-10-01,2022-11-01
24,3168705,Timóteo,2023,17.63301355722311,0.6093885755405354,0.3007129584446171,2.0264792667814735,272.60038137973953,0.5065333179607431,0.9068500669061936,202306,202328,22,31,MG,2,2017,2018,2016-10-01,2018-11-01
37,3103504,Araguari,2023,17.34431954210399,0.60809870857862,0.3081311879013008,1.9735058717048903,668.8183841873002,0.4932875476392119,0.9762427978584252,202305,202328,23,31,MG,1,2019,2019,2018-10-01,2019-11-01
40,3158953,Santana Do Paraíso,2023,19.16992862094208,0.5456791453940941,0.3061112280561032,1.7826172168179453,356.44498797771354,0.439027071787713,1.3354675757326584,202304,202332,28,31,MG,1,2018,2018,2017-10-01,2018-11-01
65,3126703,Francisco Sá,2023,5.930339557740154,0.744092489398961,0.3000648718919623,2.479772072976506,885.8978221763903,0.5967371312478384,0.7701502283384261,202302,202314,12,31,MG,1,2022,2022,2021-10-01,2022-11-01
72,3135050,Jaíba,2023,5.000000000000031,0.5604837632253076,0.3299999999999899,1.6984356461373475,3648.209618999538,0.4112229084014803,5.110655441500534,202302,202318,16,31,MG,1,2022,2022,2021-10-01,2022-11-01
77,3143302,Montes Claros,2023,7.090781068618248,0.7395290328257362,0.3000000000000001,2.4650967760857863,18427.204184862618,0.5943364131984084,1.065384099998369,202302,202316,14,31,MG,1,2022,2022,2021-10-01,2022-11-01
88,3141405,Medina,2023,8.380249476083462,0.8942007509630652,0.3000000000050147,2.98066916982706,984.380050744076,0.6645048668524255,0.5868818263845365,202303,202315,12,31,MG,1,2017,2017,2016-10-01,2017-11-01
96,3131307,Ipatinga,2023,20.110780077301975,0.5679738966828489,0.3000000000005292,1.893246322272823,6591.221845916368,0.4718067119763317,0.7405485733183886,202306,202332,26,31,MG,2,2017,2018,2016-10-01,2018-11-01
9,2408003,Mossoró,2023,14.181825274143929,0.4767984787448497,0.303140589115986,1.5728625458414596,432.2686242995244,0.3642165345955175,1.7677065934873075,202302,202330,28,24,RN,4,2016,2020,2015-10-01,2020-11-01
1,2205706,Luís Correia,2023,15.140202096555004,1.2335087170842327,0.3040323385139292,4.057162876533016,194.52974041416223,0.753522342969249,0.56061987006373,202312,202320,8,22,PI,1,2017,2017,2016-10-01,2017-11-01
10,2211001,Teresina,2023,15.154988786500086,0.525024143309309,0.3065540938105273,1.7126639438513325,2590.508455077877,0.4161142916623433,1.044829193284666,202302,202329,27,22,PI,3,2016,2022,2015-10-01,2022-11-01
20,2207702,Parnaíba,2023,22.499944319439972,0.55601361109162,0.3288042365930562,1.6910171743917304,485.1896698475499,0.4086399504725867,0.9419431049904784,202306,202336,30,22,PI,2,2016,2017,2015-10-01,2017-11-01
4,2806701,São Cristóvão,2023,20.9858624454348,0.4402137308503022,0.3005500470646763,1.4646936014472531,1028.584266137,0.3172633518628693,1.277963800219749,202302,202340,38,28,SE,2,2016,2022,2015-10-01,2022-11-01
16,2802106,Estância,2023,23.115162629547896,0.4672436640029188,0.3009396265160618,1.5526159496246368,847.9558707040648,0.3559257199169171,0.3765917140006899,202302,202340,38,28,SE,3,2016,2021,2015-10-01,2021-11-01
9,1502400,Castanhal,2023,30.12136692657671,0.4084359262035177,0.3143903812636187,1.2991362030921714,378.3532277211702,0.2302577684927683,0.9607731923752938,202302,202345,43,15,PA,1,2018,2018,2017-10-01,2018-11-01
1,5002308,Brasilândia,2023,9.63016093921965,0.7118474555328825,0.3299999999944183,2.1571135016512812,566.6447980973214,0.5364175323947975,1.001590906670946,202302,202319,17,50,MS,1,2022,2022,2021-10-01,2022-11-01
6,5002951,Chapadão Do Sul,2023,18.678993391449964,0.5406245072227811,0.3147091796595496,1.7178542672559638,186.9467759017217,0.4178784434389986,1.1502223191016006,202302,202332,30,50,MS,2,2021,2022,2020-10-01,2022-11-01
6,1721000,Palmas,2023,14.036933850886212,0.4984557098530032,0.3000000000041691,1.661519032820254,3451.0580551429252,0.3981411104857432,1.00209644088134,202302,202329,27,17,TO,2,2017,2022,2016-10-01,2022-11-01
12,1716109,Paraíso Do Tocantins,2023,5.8601478481563305,0.6928456482095594,0.3000000000000067,2.309485494031813,4985.1193686669285,0.5670031257679659,1.1793256798210208,202302,202315,13,17,TO,1,2022,2022,2021-10-01,2022-11-01
11,2928703,Santo Antônio De Jesus,2023,22.533599339049097,0.5860239706476669,0.328305117501614,1.784997977208765,804.9005707661021,0.4397752755083123,0.9676527533377012,202308,202335,27,29,BA,1,2016,2016,2015-10-01,2016-11-01
48,2914802,Itabuna,2023,14.845639879658409,0.4846345383672201,0.3042046735607918,1.5931199632617463,2117.745290034698,0.3723008793684283,1.0237608905905518,202302,202331,29,29,BA,2,2016,2022,2015-10-01,2022-11-01
76,2931350,Teixeira De Freitas,2023,19.669656470564743,0.4326212448163334,0.3012658683814769,1.436011477637846,699.3954289403198,0.3036267358775287,1.3110527912054362,202302,202340,38,29,BA,5,2016,2022,2015-10-01,2022-11-01
84,2925303,Porto Seguro,2023,11.52261651164855,0.5281735014747488,0.3000000000285286,1.7605783380817397,1695.361609465367,0.4320048257042838,1.1138757275634918,202302,202325,23,29,BA,2,2016,2017,2015-10-01,2017-11-01
92,2900801,Alcobaça,2023,18.00151062434191,0.4723076840354165,0.3024590499926837,1.5615591070819053,320.7995523181895,0.3596143780502129,2.195190028818201,202302,202335,33,29,BA,1,2020,2020,2019-10-01,2020-11-01
99,2905008,Caculé,2023,5.913970540176988,0.6742919198899824,0.3028285913349247,2.2266454990844102,276.2534801098662,0.5508939342112622,2.0929317886492123,202302,202315,13,29,BA,1,2022,2022,2021-10-01,2022-11-01
128,2913606,Ilhéus,2023,15.095379575847897,0.4477405536057981,0.3000361529662065,1.492288676479023,2023.0750835704157,0.3298883682750662,1.170779236994294,202302,202333,31,29,BA,1,2016,2016,2015-10-01,2016-11-01
130,2917706,Jaguarari,2023,17.36394205669992,0.4192995960422777,0.3002262380850743,1.3966120973192953,221.32009636588873,0.2839815708889863,2.251610437859693,202302,202339,37,29,BA,1,2016,2016,2015-10-01,2016-11-01
158,2905701,Camaçari,2023,26.615823184410587,0.5191079524200528,0.3029888695243988,1.7132905021722276,267.0841245695163,0.4163278213868977,1.498549901899855,202309,202341,32,29,BA,2,2015,2019,2014-10-01,2019-11-01
